 stage   name      force      lambda0     lambda1  dA/dlambda 
   0       1      2.0620      0.0000      0.0000      0.0000 
   0       2      2.6490      0.0000      0.0000      0.0000 
   0       3      2.1980      0.0000      0.0000      0.0000 
   0       4      1.0760      0.0000      0.0000      0.0000 
   0       5      1.3420      0.0000      0.0000      0.0000 
   0       6      1.4540      0.0000      0.0000      0.0000 
   0       7      3.3890      0.0000      0.0000      0.0000 
   0       8      1.1890      0.0000      0.0000      0.0000 
   0       9      2.0000      0.0000      0.0000      0.0000 
   0      10      0.7970      0.0000      0.0000      0.0000 
   0      11      0.9360      0.0000      0.0000      0.0000 
   0      12      0.5410      0.0000      0.0000      0.0000 
   0      13      1.0640      0.0000      0.0000      0.0000 
   0      15      0.9890      0.0000      0.0000      0.0000 
   0      16      4.5200      0.0000      0.0000      0.0000 
   0      17      8.2600      0.0000      0.0000      0.0000 
   0      18      4.9060      0.0000      0.0000      0.0000 
   0      19      4.2500      0.0000      0.0000      0.0000 
   0      20      1.1970      0.0000      0.0000      0.0000 
   0      21      1.1380      0.0000      0.0000      0.0000 
   0      22      0.5420      0.0000      0.0000      0.0000 
   1       1      1.9589      0.0000      0.0500     -0.9448 
   1       2      2.5166      0.0000      0.0500     -0.6586 
   1       3      2.0881      0.0000      0.0500     -1.1864 
   1       4      1.0222      0.0000      0.0500     -0.8903 
   1       5      1.2749      0.0000      0.0500     -0.3393 
   1       6      1.3813      0.0000      0.0500     -0.8262 
   1       7      3.2195      0.0000      0.0500     -0.8004 
   1       8      1.1296      0.0000      0.0500     -0.3944 
   1       9      1.9000      0.0000      0.0500     -0.6565 
   1      10      0.7571      0.0000      0.0500     -0.3731 
   1      11      0.8892      0.0000      0.0500     -0.7541 
   1      12      0.5140      0.0000      0.0500     -0.4264 
   1      13      1.0108      0.0000      0.0500     -0.4560 
   1      15      0.9395      0.0000      0.0500     -0.2967 
   1      16      4.2940      0.0000      0.0500     -0.6656 
   1      17      7.8470      0.0000      0.0500     -1.3418 
   1      18      4.6607      0.0000      0.0500     -0.5966 
   1      19      4.0375      0.0000      0.0500     -0.8600 
   1      20      1.1372      0.0000      0.0500     -0.4004 
   1      21      1.0811      0.0000      0.0500     -0.4867 
   1      22      0.5149      0.0000      0.0500     -0.6893 
   2       1      1.8558      0.0500      0.1000     -1.0111 
   2       2      2.3841      0.0500      0.1000     -0.7056 
   2       3      1.9782      0.0500      0.1000     -1.2441 
   2       4      0.9684      0.0500      0.1000     -0.8944 
   2       5      1.2078      0.0500      0.1000     -0.3659 
   2       6      1.3086      0.0500      0.1000     -0.8081 
   2       7      3.0501      0.0500      0.1000     -0.8177 
   2       8      1.0701      0.0500      0.1000     -0.3988 
   2       9      1.8000      0.0500      0.1000     -0.6183 
   2      10      0.7173      0.0500      0.1000     -0.3922 
   2      11      0.8424      0.0500      0.1000     -0.7862 
   2      12      0.4869      0.0500      0.1000     -0.4456 
   2      13      0.9576      0.0500      0.1000     -0.5260 
   2      15      0.8901      0.0500      0.1000     -0.3205 
   2      16      4.0680      0.0500      0.1000     -0.6099 
   2      17      7.4340      0.0500      0.1000     -1.3282 
   2      18      4.4154      0.0500      0.1000     -0.6163 
   2      19      3.8250      0.0500      0.1000     -0.8985 
   2      20      1.0773      0.0500      0.1000     -0.4305 
   2      21      1.0242      0.0500      0.1000     -0.5061 
   2      22      0.4878      0.0500      0.1000     -0.6720 
   3       1      1.7527      0.1000      0.1500     -1.0544 
   3       2      2.2517      0.1000      0.1500     -0.7342 
   3       3      1.8683      0.1000      0.1500     -1.2536 
   3       4      0.9146      0.1000      0.1500     -0.9648 
   3       5      1.1407      0.1000      0.1500     -0.3598 
   3       6      1.2359      0.1000      0.1500     -1.0310 
   3       7      2.8807      0.1000      0.1500     -0.8264 
   3       8      1.0107      0.1000      0.1500     -0.4429 
   3       9      1.7000      0.1000      0.1500     -0.7044 
   3      10      0.6774      0.1000      0.1500     -0.3616 
   3      11      0.7956      0.1000      0.1500     -0.8077 
   3      12      0.4598      0.1000      0.1500     -0.4973 
   3      13      0.9044      0.1000      0.1500     -0.5493 
   3      15      0.8407      0.1000      0.1500     -0.3487 
   3      16      3.8420      0.1000      0.1500     -0.6512 
   3      17      7.0210      0.1000      0.1500     -1.4249 
   3      18      4.1701      0.1000      0.1500     -0.6378 
   3      19      3.6125      0.1000      0.1500     -0.9191 
   3      20      1.0174      0.1000      0.1500     -0.4212 
   3      21      0.9673      0.1000      0.1500     -0.4886 
   3      22      0.4607      0.1000      0.1500     -0.6995 
   4       1      1.6496      0.1500      0.2000     -1.1253 
   4       2      2.1192      0.1500      0.2000     -0.8288 
   4       3      1.7584      0.1500      0.2000     -1.3408 
   4       4      0.8608      0.1500      0.2000     -0.9144 
   4       5      1.0736      0.1500      0.2000     -0.3770 
   4       6      1.1632      0.1500      0.2000     -1.0369 
   4       7      2.7112      0.1500      0.2000     -0.8736 
   4       8      0.9512      0.1500      0.2000     -0.4317 
   4       9      1.6000      0.1500      0.2000     -0.7347 
   4      10      0.6376      0.1500      0.2000     -0.3869 
   4      11      0.7488      0.1500      0.2000     -0.8090 
   4      12      0.4328      0.1500      0.2000     -0.4612 
   4      13      0.8512      0.1500      0.2000     -0.5081 
   4      15      0.7912      0.1500      0.2000     -0.3601 
   4      16      3.6160      0.1500      0.2000     -0.6467 
   4      17      6.6080      0.1500      0.2000     -1.4778 
   4      18      3.9248      0.1500      0.2000     -0.6864 
   4      19      3.4000      0.1500      0.2000     -0.9377 
   4      20      0.9576      0.1500      0.2000     -0.4468 
   4      21      0.9104      0.1500      0.2000     -0.5616 
   4      22      0.4336      0.1500      0.2000     -0.6651 
   5       1      1.5465      0.2000      0.2500     -1.1837 
   5       2      1.9868      0.2000      0.2500     -0.8180 
   5       3      1.6485      0.2000      0.2500     -1.4116 
   5       4      0.8070      0.2000      0.2500     -0.9759 
   5       5      1.0065      0.2000      0.2500     -0.3995 
   5       6      1.0905      0.2000      0.2500     -0.9878 
   5       7      2.5417      0.2000      0.2500     -0.8979 
   5       8      0.8918      0.2000      0.2500     -0.4577 
   5       9      1.5000      0.2000      0.2500     -0.7582 
   5      10      0.5978      0.2000      0.2500     -0.3768 
   5      11      0.7020      0.2000      0.2500     -0.9087 
   5      12      0.4057      0.2000      0.2500     -0.5406 
   5      13      0.7980      0.2000      0.2500     -0.5527 
   5      15      0.7418      0.2000      0.2500     -0.3863 
   5      16      3.3900      0.2000      0.2500     -0.8016 
   5      17      6.1950      0.2000      0.2500     -1.5279 
   5      18      3.6795      0.2000      0.2500     -0.6675 
   5      19      3.1875      0.2000      0.2500     -1.0261 
   5      20      0.8978      0.2000      0.2500     -0.4535 
   5      21      0.8535      0.2000      0.2500     -0.5074 
   5      22      0.4065      0.2000      0.2500     -0.6346 
   6       1      1.4434      0.2500      0.3000     -1.1411 
   6       2      1.8543      0.2500      0.3000     -0.8468 
   6       3      1.5386      0.2500      0.3000     -1.4319 
   6       4      0.7532      0.2500      0.3000     -0.7797 
   6       5      0.9394      0.2500      0.3000     -0.3757 
   6       6      1.0178      0.2500      0.3000     -1.0408 
   6       7      2.3723      0.2500      0.3000     -0.9626 
   6       8      0.8323      0.2500      0.3000     -0.4283 
   6       9      1.4000      0.2500      0.3000     -0.7466 
   6      10      0.5579      0.2500      0.3000     -0.3600 
   6      11      0.6552      0.2500      0.3000     -0.8334 
   6      12      0.3787      0.2500      0.3000     -0.4828 
   6      13      0.7448      0.2500      0.3000     -0.6035 
   6      15      0.6923      0.2500      0.3000     -0.8600 
   6      16      3.1640      0.2500      0.3000     -1.0504 
   6      17      5.7820      0.2500      0.3000     -1.5308 
   6      18      3.4342      0.2500      0.3000     -0.7352 
   6      19      2.9750      0.2500      0.3000     -1.0801 
   6      20      0.8379      0.2500      0.3000     -0.4475 
   6      21      0.7966      0.2500      0.3000     -0.6222 
   6      22      0.3794      0.2500      0.3000     -0.7762 
   7       1      1.3403      0.3000      0.3500     -1.1567 
   7       2      1.7219      0.3000      0.3500     -0.9039 
   7       3      1.4287      0.3000      0.3500     -1.4759 
   7       4      0.6994      0.3000      0.3500     -1.0597 
   7       5      0.8723      0.3000      0.3500     -0.4153 
   7       6      0.9451      0.3000      0.3500     -1.0694 
   7       7      2.2029      0.3000      0.3500     -0.9751 
   7       8      0.7729      0.3000      0.3500     -0.5125 
   7       9      1.3000      0.3000      0.3500     -0.8523 
   7      10      0.5181      0.3000      0.3500     -0.4303 
   7      11      0.6084      0.3000      0.3500     -1.0259 
   7      12      0.3517      0.3000      0.3500     -0.6064 
   7      13      0.6916      0.3000      0.3500     -0.5883 
   7      15      0.6429      0.3000      0.3500     -0.3624 
   7      16      2.9380      0.3000      0.3500     -0.6545 
   7      17      5.3690      0.3000      0.3500     -1.5891 
   7      18      3.1889      0.3000      0.3500     -0.7266 
   7      19      2.7625      0.3000      0.3500     -1.1485 
   7      20      0.7781      0.3000      0.3500     -0.5038 
   7      21      0.7397      0.3000      0.3500     -0.5265 
   7      22      0.3523      0.3000      0.3500     -0.6676 
   8       1      1.2372      0.3500      0.4000     -1.3275 
   8       2      1.5894      0.3500      0.4000     -0.9376 
   8       3      1.3188      0.3500      0.4000     -1.5446 
   8       4      0.6456      0.3500      0.4000     -1.0510 
   8       5      0.8052      0.3500      0.4000     -0.4478 
   8       6      0.8724      0.3500      0.4000     -1.0724 
   8       7      2.0334      0.3500      0.4000     -1.0361 
   8       8      0.7134      0.3500      0.4000     -0.4961 
   8       9      1.2000      0.3500      0.4000     -0.8177 
   8      10      0.4782      0.3500      0.4000     -0.4712 
   8      11      0.5616      0.3500      0.4000     -1.0316 
   8      12      0.3246      0.3500      0.4000     -0.5432 
   8      13      0.6384      0.3500      0.4000     -0.5826 
   8      15      0.5934      0.3500      0.4000     -0.3868 
   8      16      2.7120      0.3500      0.4000     -1.0233 
   8      17      4.9560      0.3500      0.4000     -1.7379 
   8      18      2.9436      0.3500      0.4000     -0.7396 
   8      19      2.5500      0.3500      0.4000     -1.2777 
   8      20      0.7182      0.3500      0.4000     -0.5007 
   8      21      0.6828      0.3500      0.4000     -0.6162 
   8      22      0.3252      0.3500      0.4000     -0.7288 
   9       1      1.1341      0.4000      0.4500     -1.5972 
   9       2      1.4569      0.4000      0.4500     -0.9103 
   9       3      1.2089      0.4000      0.4500     -1.6782 
   9       4      0.5918      0.4000      0.4500     -0.7672 
   9       5      0.7381      0.4000      0.4500     -0.4072 
   9       6      0.7997      0.4000      0.4500     -1.3380 
   9       7      1.8639      0.4000      0.4500     -1.0833 
   9       8      0.6540      0.4000      0.4500     -0.5356 
   9       9      1.1000      0.4000      0.4500     -0.9981 
   9      10      0.4384      0.4000      0.4500     -0.5098 
   9      11      0.5148      0.4000      0.4500     -1.1281 
   9      12      0.2975      0.4000      0.4500     -0.5952 
   9      13      0.5852      0.4000      0.4500     -0.6656 
   9      15      0.5440      0.4000      0.4500     -0.3871 
   9      16      2.4860      0.4000      0.4500     -0.8392 
   9      17      4.5430      0.4000      0.4500     -1.7841 
   9      18      2.6983      0.4000      0.4500     -0.8393 
   9      19      2.3375      0.4000      0.4500     -1.2154 
   9      20      0.6583      0.4000      0.4500     -0.5641 
   9      21      0.6259      0.4000      0.4500     -0.5848 
   9      22      0.2981      0.4000      0.4500     -0.6977 
  10       1      1.0310      0.4500      0.5000     -1.4979 
  10       2      1.3245      0.4500      0.5000     -0.9381 
  10       3      1.0990      0.4500      0.5000     -1.5614 
  10       4      0.5380      0.4500      0.5000     -1.1680 
  10       5      0.6710      0.4500      0.5000     -0.5183 
  10       6      0.7270      0.4500      0.5000     -1.3364 
  10       7      1.6945      0.4500      0.5000     -1.1490 
  10       8      0.5945      0.4500      0.5000     -0.5513 
  10       9      1.0000      0.4500      0.5000     -0.9898 
  10      10      0.3985      0.4500      0.5000     -0.4706 
  10      11      0.4680      0.4500      0.5000     -1.0709 
  10      12      0.2705      0.4500      0.5000     -0.6333 
  10      13      0.5320      0.4500      0.5000     -0.6753 
  10      15      0.4945      0.4500      0.5000     -0.4001 
  10      16      2.2600      0.4500      0.5000     -1.0169 
  10      17      4.1300      0.4500      0.5000     -1.9124 
  10      18      2.4530      0.4500      0.5000     -0.8426 
  10      19      2.1250      0.4500      0.5000     -1.2828 
  10      20      0.5985      0.4500      0.5000     -0.5403 
  10      21      0.5690      0.4500      0.5000     -0.6050 
  10      22      0.2710      0.4500      0.5000     -0.7324 
